name,review_count,rating,price,category,city,state,zip_code,delivery,pickup,restaurant reservation,vagen_options,street parking,wheelchair accessible,free wi-fi,accepts credit card,accepts apple pay,accepts android pay,outdoor seating,casual dress,good for kids,bike parking,tv,waiter service,full bar,dogs allowed
Sweet Lady Jane Bakery,1589,3.5,2,bakeries,Los Angeles,CA,90069,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0
Spitz - Los Feliz,793,4,2,bars,Los Angeles,CA,90027,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0
El Compadre,1674,3.5,2,mexican,Los Angeles,CA,90046,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0
Michin Dak,457,4.5,2,chicken_wings,Los Angeles,CA,90020,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1
It's Pho hollywood,1031,4,2,vietnamese,Los Angeles,CA,90028,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0
A Simple Bar,306,4.5,2,bars,Los Angeles,CA,90068,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1
Spitz - Eagle Rock,1253,4,2,sandwiches,Los Angeles,CA,90041,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0
Simple things Restaurant Marketplace,846,4,2,sandwiches,Los Angeles,CA,90048,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0
Honey Bee's House of Breakfast,813,4,1,breakfast_brunch,Los Angeles,CA,90016,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0
The Village Idiot,1242,4,2,bars,Los Angeles,CA,90046,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1
Eataly Los Angeles,2175,3.5,2,gourmet,Los Angeles,CA,90067,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0
Le Grand,392,4.5,3,italian,Los Angeles,CA,90017,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1
Border Grill Downtown LA,1135,4,2,mexican,Los Angeles,CA,90071,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0
The Wellesbourne,977,4,3,lounges,Los Angeles,CA,90064,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1
It's Boba Time,902,4,1,coffee,Los Angeles,CA,90005,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0
La Tropézienne Bakery,411,4.5,2,bakeries,Los Angeles,CA,90036,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
HATCH Yakitori + Bar,518,4.5,2,japanese,Los Angeles,CA,90017,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1
Hoy's Wok Chinese Kitchen,708,4,2,dimsum,Los Angeles,CA,90046,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0
BBQ + RICE,162,5,2,korean,Los Angeles,CA,90038,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0
AL Basch Chicken,325,4.5,2,mediterranean,Los Angeles,CA,90046,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0
Eat Drink Americano,781,4,2,newamerican,Los Angeles,CA,90013,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1
Carnitas Michoacan,1313,4,1,mexican,Los Angeles,CA,90031,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0
Rahel Ethiopian Vegan Cuisine,594,4,2,ethiopian,Los Angeles,CA,90019,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0
Erin McKenna's Bakery,725,4,2,bakeries,Los Angeles,CA,90004,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
Rice & Nori,359,4.5,1,japanese,Los Angeles,CA,90012,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0
The Trails,608,4,1,cafes,Los Angeles,CA,90027,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1
Tierra Mia Coffee,629,4,1,coffee,Los Angeles,CA,90026,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1
Rockwell Table & Stage,1262,3.5,2,lounges,Los Angeles,CA,90027,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1
Izakaya Bizan,1441,3.5,2,izakaya,Los Angeles,CA,90013,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0
Dōnatsu,421,4.5,1,donuts,Los Angeles,CA,90012,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1
Chinchikurin - Sawtelle,580,4.5,2,japanese,Los Angeles,CA,90025,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0
Lemon Poppy Kitchen,630,4,2,cafes,Los Angeles,CA,90065,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1
464,405,4.5,2,burgers,Los Angeles,CA,90013,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1
Humble Potato,660,4.5,2,newamerican,Los Angeles,CA,90066,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1
Nong La Cafe,638,4,2,vietnamese,Los Angeles,CA,90036,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0
Purgatory Pizza,938,4,2,pizza,Los Angeles,CA,90033,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0
Malama Pono Restaurant,228,5,2,seafood,Los Angeles,CA,91423,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0
Azla,416,4.5,1,ethiopian,Los Angeles,CA,90008,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0
Mariscos 4 Vientos,673,4,1,mexican,Los Angeles,CA,90023,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0
Melrose Umbrella Co.,519,4,2,cocktailbars,Los Angeles,CA,90046,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1
Northern Thai Food Club,214,4.5,1,thai,Los Angeles,CA,90027,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
Casa Bianca Pizza Pie,1439,4,2,pizza,Los Angeles,CA,90041,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0
Pizzeria Il Fico,504,4.5,2,pizza,Los Angeles,CA,90048,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0
Eighth Street Soondae,264,4.5,2,korean,Los Angeles,CA,90005,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0
Tuscan Son,358,4.5,2,italian,Los Angeles,CA,90025,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1
With Love Market & Cafe,247,4.5,1,coffee,Los Angeles,CA,90007,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1
Street Level Cafe,249,4.5,2,cafes,Los Angeles,CA,90026,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1
Alfred Coffee Melrose Place,926,4,2,coffee,Los Angeles,CA,90069,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1
Barbrix Restaurant & Wine Bar,1177,4,2,wine_bars,Los Angeles,CA,90027,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1
MESSHALL,1310,3.5,2,bars,Los Angeles,CA,90027,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
Cahuenga Peak,249,4.5,2,hiking,Los Angeles,CA,90068,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Veggie Grill,774,4,2,vegetarian,Los Angeles,CA,90036,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0
Carnes Asadas Pancho Lopez,177,5,2,mexican,Los Angeles,CA,90031,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
Wood,761,4,2,pizza,Los Angeles,CA,90026,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0
Wax Paper - Los Angeles,346,4.5,2,tradamerican,Los Angeles,CA,90039,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1
LA Prime,945,4,4,steak,Los Angeles,CA,90071,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
Sunnin Lebanese Cafe,1137,4,2,lebanese,Los Angeles,CA,90024,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0
Uncle John’s Cafe,791,4,2,tradamerican,Los Angeles,CA,90017,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0
Poke Me,663,4,2,hawaiian,Los Angeles,CA,90024,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0
Modan Eagle Rock Ramen,475,4.5,2,asianfusion,Los Angeles,CA,90041,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
Sushi One,425,4.5,2,japanese,Los Angeles,CA,90020,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0
Scoops,417,4.5,1,icecream,Los Angeles,CA,90042,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cocobella Creamery,390,4.5,1,vegan,Los Angeles,CA,90038,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1
Shekarchi Restaurant,598,4.5,2,persian,Los Angeles,CA,90015,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1
Locanda Veneta,513,4.5,3,italian,Los Angeles,CA,90048,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1
Chef Kang Sul Box,228,4.5,2,korean,Los Angeles,CA,90010,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1
SHIN,852,4,2,japanese,Los Angeles,CA,90028,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
South LA Cafe,188,5,1,coffee,Los Angeles,CA,90062,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0
Nong La Cafe,1392,4,2,vietnamese,Los Angeles,CA,90025,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1
Restaurante Tierra Caliente,299,4.5,1,mexican,Los Angeles,CA,90065,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0
The Waffle,1737,3.5,2,newamerican,Los Angeles,CA,90028,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1
Paco's Tacos,1155,4,2,mexican,Los Angeles,CA,90066,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0
Della Terra Restaurant,697,4,2,italian,Los Angeles,CA,90036,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
Umami Burger - Los Feliz,1924,3.5,2,burgers,Los Angeles,CA,90027,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0
Bottega Louie,16856,4,2,italian,Los Angeles,CA,90017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monty's Good Burger,500,4.5,2,burgers,Los Angeles,CA,90026,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1
Rao's - Los Angeles,484,4.5,3,italian,Los Angeles,CA,90038,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0
Sky's Gourmet Tacos,1132,4,1,tacos,Los Angeles,CA,90019,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1
Little Dom's,1591,3.5,2,newamerican,Los Angeles,CA,90027,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1
Flavor Table,647,4,2,cajun,Los Angeles,CA,90043,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Comfort LA,980,4,2,comfortfood,Los Angeles,CA,90021,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0
Drive Thru Pupusas,237,5,1,salvadoran,Los Angeles,CA,90042,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1
Aeirloom Bakery,666,4,2,newamerican,Los Angeles,CA,91602,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0
Brothers BBQ,574,4,2,korean,Los Angeles,CA,90020,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0
Piece of Cake,174,5,2,desserts,Los Angeles,CA,90036,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
The Woodman,1106,4,2,pubs,Los Angeles,CA,91423,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0
The Teriyaki House Pico,247,4.5,4,japanese,Los Angeles,CA,90064,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
Nic's on Beverly,377,4.5,2,vegan,Los Angeles,CA,90048,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1
Ivanhoe Restaurant & Bar,601,4,2,bars,Los Angeles,CA,90039,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
Forage,794,4,2,newamerican,Los Angeles,CA,90026,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0
Marino Restaurant,393,4.5,3,italian,Los Angeles,CA,90038,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0
Ruby Bakery,379,4.5,1,bakeries,Los Angeles,CA,90041,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Tere's Mexican Grill,589,4,1,mexican,Los Angeles,CA,90038,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0
El Cholo,1350,3.5,2,mexican,Los Angeles,CA,90006,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0
Vibrato Grill Jazz,727,4,3,newamerican,Los Angeles,CA,90077,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
Bolt,414,4.5,2,coffee,Los Angeles,CA,90028,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1
The Silver Lake House,287,4.5,2,thai,Los Angeles,CA,90026,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1
Trattoria Bella Roma,531,4.5,2,italian,Los Angeles,CA,90035,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0
Plancha Tacos,777,4,1,mexican,Los Angeles,CA,90048,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0
Nick & Stef's Steakhouse,683,4,3,steak,Los Angeles,CA,90071,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0
The Halal Guys,853,4,1,halal,Los Angeles,CA,90014,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0
Gaam Restaurant and Lounge,988,3.5,2,asianfusion,Los Angeles,CA,90020,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0
Aslan Mediterranean Cuisine,292,5,2,mediterranean,Los Angeles,CA,90041,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0
fōnuts -  Los Angeles,1090,4,2,donuts,Los Angeles,CA,90048,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0
Yuko Kitchen,350,4.5,2,japanese,Los Angeles,CA,90013,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1
Summer Buffalo,451,4.5,2,thai,Los Angeles,CA,90046,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0
Coppelia's Bakery & Cafe,437,4.5,2,bakeries,Los Angeles,CA,90034,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1
Wako Donkasu,671,4,2,korean,Los Angeles,CA,90010,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0
Lodge Bread,679,4,2,bakeries,Los Angeles,CA,90066,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1
Kura Revolving Sushi Bar,1410,3.5,2,sushi,Los Angeles,CA,90012,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0
Wood & Vine,1341,3.5,2,newamerican,Los Angeles,CA,90028,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,0
Top Tier Treats,592,4.5,2,bakeries,Los Angeles,CA,90064,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0
Alana's Coffee Roasters,359,4.5,2,coffeeroasteries,Los Angeles,CA,90066,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0
Candela,677,4,2,mexican,Los Angeles,CA,90036,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0
Blackbird Pizza Shop,392,4.5,2,pizza,Los Angeles,CA,90046,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1
10e,652,4,2,mediterranean,Los Angeles,CA,90017,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0
Coffee Tomo,875,4,2,coffee,Los Angeles,CA,90025,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0
Taix French Restaurant,846,4,3,french,Los Angeles,CA,90026,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0
Clementine,1050,4,2,bakeries,Los Angeles,CA,90024,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1
Polka Polish Restaurant,801,4,2,polish,Los Angeles,CA,90065,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1
Papa's Chicken,248,4.5,2,chicken_wings,Los Angeles,CA,90006,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
Awash Restaurant,432,4.5,2,ethiopian,Los Angeles,CA,90035,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0
Beard Papa's,852,4,1,desserts,Los Angeles,CA,90025,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0
Bon Shabu,606,4,2,japanese,Los Angeles,CA,90005,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0
Chinchikurin - Little Tokyo,648,4,2,japanese,Los Angeles,CA,90012,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0
Lao Tao,538,4,2,chinese,Los Angeles,CA,90012,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0
Sakura Japanese Restaurant,899,4,2,japanese,Los Angeles,CA,90066,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0
Isaan Station Thai Street Food,619,4,2,thai,Los Angeles,CA,90004,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0
Cilantro Lime,413,4.5,1,mexican,Los Angeles,CA,90015,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1
Boba Bear,874,4,2,juicebars,Los Angeles,CA,90020,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0
Orsa & Winston,498,4,4,italian,Los Angeles,CA,90013,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Wolf & Crane Bar,558,4,2,whiskeybars,Los Angeles,CA,90012,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0
Nightshade,454,4,2,cocktailbars,Los Angeles,CA,90013,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0
Tokyo Hamburg,513,4,2,japanese,Los Angeles,CA,90005,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0
El Coyote Mexican Cafe,1832,3.5,2,mexican,Los Angeles,CA,90036,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0
Ekkamai Thai Restaurant,1206,4,2,thai,Los Angeles,CA,90066,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0
Sticky Rice,976,4,2,thai,Los Angeles,CA,90013,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0
Ruam Mitr,348,4.5,2,thai,Los Angeles,CA,90046,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1
Sushi Fumi,375,4.5,2,sushi,Los Angeles,CA,90048,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0
Combo A,354,4.5,1,chinese,Los Angeles,CA,90026,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0
Twozone Chicken,251,4.5,2,chickenshop,Los Angeles,CA,90005,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0
Ranchos Onsite Tacos,213,5,2,catering,Los Angeles,CA,90015,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
Covell,447,4.5,2,wine_bars,Los Angeles,CA,90027,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1
Ebaes,784,4,2,tapasmallplates,Los Angeles,CA,90007,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0
Xtiosu Kitchen,249,4.5,2,mediterranean,Los Angeles,CA,90033,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1
Kings Road Cafe,883,4,2,coffee,Los Angeles,CA,90048,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0
Saikai Ramen Bar,155,5,2,ramen,Los Angeles,CA,90004,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0
Mezcalero,547,4,2,cocktailbars,Los Angeles,CA,90013,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0
Nijiya Market - Sawtelle,620,4,2,japanese,Los Angeles,CA,90025,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0
Eagle Rock Italian Bakery & Deli,575,4.5,1,bakeries,Los Angeles,CA,90041,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
Merkato Ethiopian Restaurant & Market,719,4,2,ethiopian,Los Angeles,CA,90019,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0
Honey Night,187,4.5,2,korean,Los Angeles,CA,90005,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0
Annie's Soul Delicious,318,4.5,2,soulfood,Los Angeles,CA,90019,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0
Portobancos Restaurant,271,4.5,2,latin,Los Angeles,CA,90006,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0
Roll Roll Roll,866,4,1,sushi,Los Angeles,CA,90010,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0
Lark Cake Shop,881,4,2,desserts,Los Angeles,CA,90026,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
Raw Cane Super Juice Bar,218,4.5,2,juicebars,Los Angeles,CA,90027,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0
Spoon & Pork,237,4.5,2,filipino,Los Angeles,CA,90026,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1
La Pupusa Urban Eatery,309,4.5,2,salvadoran,Los Angeles,CA,90015,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0
Birds,956,4,2,newamerican,Los Angeles,CA,90028,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0
Olvera Street,537,4,2,localflavor,Los Angeles,CA,90012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Street Tacos and Grill,168,5,1,tacos,Los Angeles,CA,90033,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1
Honeybee Burger,441,4.5,2,burgers,Los Angeles,CA,90039,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0
Electric Karma,876,4,2,indpak,Los Angeles,CA,90048,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0
Casa Fina Restaurant & Cantina,652,4,2,mexican,Los Angeles,CA,90033,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0
Anzu,294,4.5,1,japanese,Los Angeles,CA,90025,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1
Pez Cantina,960,4,2,seafood,Los Angeles,CA,90071,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1
Slab,477,4,2,bbq,Los Angeles,CA,90048,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0
The Counter Downtown LA,940,4,2,burgers,Los Angeles,CA,90017,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
Biergarten,812,4,2,asianfusion,Los Angeles,CA,90004,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1
Larchmont Bungalow Cafe,383,4.5,2,cafes,Los Angeles,CA,90026,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1
Aloha Café,709,4,2,breakfast_brunch,Los Angeles,CA,90012,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0
Tierra Mia Coffee,424,4.5,1,coffee,Los Angeles,CA,90014,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0
House of Pies,1665,3.5,2,diners,Los Angeles,CA,90027,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0
Good Times at Davey Wayne's,1310,3.5,2,speakeasies,Los Angeles,CA,90028,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0
Hakata Ikkousha,625,4,2,ramen,Los Angeles,CA,90012,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0
Blossom Restaurant,1075,3.5,2,vietnamese,Los Angeles,CA,90013,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0
Killer Noodle Tsujita,927,4,2,ramen,Los Angeles,CA,90025,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1
Quiadaiyn Restaurant,244,5,2,mexican,Los Angeles,CA,90066,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0
Wild Living Foods,567,4,2,juicebars,Los Angeles,CA,90014,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1
Chimney Coffee House,672,4,2,coffee,Los Angeles,CA,90012,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1
Fatamorgana Gelato,306,4.5,2,gelato,Los Angeles,CA,91604,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1
Cactus Taqueria #1,965,4,1,tacos,Los Angeles,CA,90038,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1
Eagle Rock Green Dragon,594,4.5,2,chinese,Los Angeles,CA,90041,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0
Peking Tavern,762,4,2,gastropubs,Los Angeles,CA,90014,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0
TOI On Sunset,1202,3.5,2,thai,Los Angeles,CA,90046,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0
Inti Restaurant,318,4.5,2,latin,Los Angeles,CA,90038,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0
Kouraku Restaurant,1032,3.5,2,japanese,Los Angeles,CA,90012,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0
Plato,427,4,2,korean,Los Angeles,CA,90005,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0
Feng Mao Lamb Kebab - Western,472,4,2,korean,Los Angeles,CA,90020,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0
Yuca's,792,4,1,mexican,Los Angeles,CA,90027,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
Hyperion Public,872,4,2,gastropubs,Los Angeles,CA,90027,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0
Little Fluffy Head Cafe,413,4.5,1,bubbletea,Los Angeles,CA,90014,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
ShaBuShi,474,4,2,japanese,Los Angeles,CA,90027,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0
Thai Patio,1396,3.5,2,thai,Los Angeles,CA,90027,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0
The Halal Guys,1289,3.5,2,halal,Los Angeles,CA,90010,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0
